INFO:tensorflow:Train Step = 44479, total loss = 0.4715372 (14.594 sec)
INFO:tensorflow:Train Step = 44579, total loss = 0.17076017 (14.580 sec)
INFO:tensorflow:Train Step = 44679, total loss = 0.374111 (14.572 sec)
INFO:tensorflow:Train Step = 44779, total loss = 0.6901357 (14.558 sec)
INFO:tensorflow:Train Step = 44879, total loss = 0.14990973 (14.574 sec)
INFO:tensorflow:Train Step = 44979, total loss = 0.18630368 (14.579 sec)
INFO:tensorflow:Train Step = 45079, total loss = 0.073601946 (14.554 sec)
INFO:tensorflow:Train Step = 45179, total loss = 0.51903534 (14.577 sec)
INFO:tensorflow:Train Step = 45279, total loss = 0.8302747 (14.556 sec)
INFO:tensorflow:Train Step = 45379, total loss = 0.78814375 (14.560 sec)
INFO:tensorflow:Train Step = 45479, total loss = 0.19075246 (14.562 sec)
INFO:tensorflow:Train Step = 45579, total loss = 0.13712545 (14.550 sec)
INFO:tensorflow:Train Step = 45679, total loss = 0.50897586 (14.587 sec)
INFO:tensorflow:Train Step = 45779, total loss = 0.20480654 (14.573 sec)
INFO:tensorflow:Train Step = 45879, total loss = 0.76219916 (14.591 sec)
INFO:tensorflow:Train Step = 45979, total loss = 0.06385463 (14.565 sec)
INFO:tensorflow:Train Step = 46079, total loss = 0.40529868 (14.558 sec)
INFO:tensorflow:Train Step = 46179, total loss = 0.79210734 (14.590 sec)
INFO:tensorflow:Train Step = 46279, total loss = 0.34494898 (14.580 sec)
INFO:tensorflow:Train Step = 46379, total loss = 0.3459333 (14.561 sec)
INFO:tensorflow:Train Step = 46479, total loss = 0.54412436 (14.545 sec)
INFO:tensorflow:Train Step = 46579, total loss = 0.7437613 (14.523 sec)
INFO:tensorflow:Train Step = 46679, total loss = 0.46662965 (14.532 sec)
INFO:tensorflow:Train Step = 46779, total loss = 0.49641103 (14.564 sec)
INFO:tensorflow:Train Step = 46879, total loss = 0.32518685 (14.579 sec)
INFO:tensorflow:Train Step = 46979, total loss = 0.3093819 (14.554 sec)
INFO:tensorflow:Train Step = 47079, total loss = 1.0642767 (14.571 sec)
INFO:tensorflow:Train Step = 47179, total loss = 0.47723716 (14.566 sec)
INFO:tensorflow:Train Step = 47279, total loss = 0.5465646 (14.578 sec)
INFO:tensorflow:Train Step = 47379, total loss = 0.2883278 (14.579 sec)
INFO:tensorflow:Train Step = 47479, total loss = 0.60138124 (14.600 sec)
INFO:tensorflow:Train Step = 47579, total loss = 0.13189265 (15.509 sec)
INFO:tensorflow:Train Step = 47679, total loss = 0.14435995 (14.534 sec)
INFO:tensorflow:Train Step = 47779, total loss = 0.7982323 (14.559 sec)
INFO:tensorflow:Train Step = 47879, total loss = 0.6827944 (14.570 sec)
INFO:tensorflow:Train Step = 47979, total loss = 0.15852627 (14.573 sec)
INFO:tensorflow:Train Step = 48079, total loss = 0.19725549 (14.564 sec)
INFO:tensorflow:Train Step = 48179, total loss = 0.87003434 (14.567 sec)
INFO:tensorflow:Train Step = 48279, total loss = 0.6251911 (14.570 sec)
INFO:tensorflow:Train Step = 48379, total loss = 0.43111873 (14.573 sec)
INFO:tensorflow:Train Step = 48479, total loss = 0.13574265 (14.560 sec)
INFO:tensorflow:Train Step = 48579, total loss = 0.21838474 (14.576 sec)
INFO:tensorflow:Train Step = 48679, total loss = 0.6095091 (14.571 sec)
INFO:tensorflow:Train Step = 48779, total loss = 0.32969728 (14.574 sec)
INFO:tensorflow:Train Step = 48879, total loss = 0.5998521 (14.578 sec)
INFO:tensorflow:Train Step = 48979, total loss = 0.45372915 (14.528 sec)
INFO:tensorflow:Train Step = 49079, total loss = 0.75560063 (14.592 sec)
INFO:tensorflow:Train Step = 49179, total loss = 0.46985406 (14.594 sec)
INFO:tensorflow:Train Step = 49279, total loss = 0.35350817 (14.573 sec)
INFO:tensorflow:Train Step = 49379, total loss = 1.0194613 (14.558 sec)
INFO:tensorflow:Train Step = 49479, total loss = 0.5207504 (14.574 sec)
INFO:tensorflow:Train Step = 49579, total loss = 0.25743693 (14.589 sec)
INFO:tensorflow:Train Step = 49679, total loss = 0.25324047 (14.565 sec)
INFO:tensorflow:Train Step = 49779, total loss = 0.8923532 (14.566 sec)
INFO:tensorflow:Train Step = 49879, total loss = 0.85560334 (14.565 sec)
INFO:tensorflow:Train Step = 49979, total loss = 0.5026166 (14.566 sec)
INFO:tensorflow:Train Step = 50079, total loss = 1.0112154 (14.543 sec)
INFO:tensorflow:Train Step = 50179, total loss = 0.95052564 (14.549 sec)
INFO:tensorflow:Train Step = 50279, total loss = 0.17975941 (14.570 sec)
INFO:tensorflow:Train Step = 50379, total loss = 0.40176725 (14.549 sec)
INFO:tensorflow:Train Step = 50479, total loss = 0.31236324 (14.575 sec)
INFO:tensorflow:Train Step = 50579, total loss = 0.7246315 (14.562 sec)
INFO:tensorflow:Train Step = 50679, total loss = 0.37206802 (14.578 sec)
INFO:tensorflow:Train Step = 50779, total loss = 0.40054208 (14.573 sec)
INFO:tensorflow:Train Step = 50879, total loss = 0.56833917 (14.552 sec)
INFO:tensorflow:Train Step = 50979, total loss = 0.7870874 (14.561 sec)
INFO:tensorflow:Train Step = 51079, total loss = 1.1109531 (14.573 sec)
INFO:tensorflow:Train Step = 51179, total loss = 0.19300365 (14.561 sec)
INFO:tensorflow:Train Step = 51279, total loss = 0.65242624 (14.588 sec)
INFO:tensorflow:Train Step = 51379, total loss = 0.90011793 (14.571 sec)
INFO:tensorflow:Train Step = 51479, total loss = 0.7860608 (14.556 sec)
INFO:tensorflow:Train Step = 51579, total loss = 0.31916207 (14.547 sec)
INFO:tensorflow:Train Step = 51679, total loss = 1.205915 (14.563 sec)
INFO:tensorflow:Train Step = 51779, total loss = 0.54802334 (14.558 sec)
INFO:tensorflow:Train Step = 51879, total loss = 0.9645225 (14.562 sec)
